Input;Output
 Варя уже была готова заплакать;Предложение правильное.
После падения Советского Союза населения России, которые были привыкшие к социалистическому менталитету, были потеряны в западной капиталистической системе.;Ошибка: привыкшие. Нужно использовать: творительный падеж. Правильно: привыкшим
В 2008  и 2009  годах  мама  родила  еще  две  дочки,  Улдана  и  Нурсаяш.;Ошибка: Улдана. Нужно использовать: дательный падеж. Правильно: Улдану
Девушка поняла: «Хотят взять живыми»;Предложение правильное.
Это  те  вещи  в  которым  каждый  из  нас  нуждается.;Ошибка: которым. Нужно использовать: предложный падеж. Правильно: которых
Сергей даже не видел озеро. ;Предложение правильное.
Это  год  был  как  квест  для  человечество.;Ошибка: человечество. Нужно использовать: родительный падеж. Правильно: человечества
В  субботу  я  встретила  моего  друга  по  университета  Антон  в  магазине.;Ошибка: университета. Нужно использовать: дательный падеж. Правильно: университету
Различные  элементы  в  московской  истории  и  ершалаимской  истории  концентрируются  на  вопрос  о  том,  что  правда.;Ошибка: вопрос. Нужно использовать: предложный падеж. Правильно: вопросе
Выше на лестнице два гимназиста курили и смотрели вниз, но Гурову было всё равно, он привлёк к себе Анну Сергеевну и стал целовать её лицо, щёки, руки;Предложение правильное.
 Скажите, почему же вы ничего не сказали мне тогда, когда я так ужасно... в вас ошиблась ;Предложение правильное.
Все  тогда  ходят  счастливыми  и  веселыми.;Ошибка: счастливыми. Нужно использовать: именительный падеж. Правильно: счастливые
 Да,  сказал он.  Письмо было странное. ;Предложение правильное.
Ему 900 годы .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
Это  негативное  отношение  к  жизни  показывается  и  в  языку  полный  ругательств,  который  он  используют  в  своем  дневнику.;Ошибка: языку. Нужно использовать: предложный падеж. Правильно: языке
Граф очень любил Сергея, а Сергей графа не любил. ;Предложение правильное.
Конечно в этом времени было бедлам.;Ошибка: времени. Нужно использовать: винительный падеж. Правильно: время
Николай   II (1, 2, 3)  Мне  кажеться  эти  три  были  самие  интересние  части  потому,  что  я  уже  много  читала  о  последнем  семье  Романовы.;Ошибка: Романовы. Нужно использовать: винительный падеж. Правильно: Романовых
 заговорила няня, подходя к Анне и целуя её руки.  Вот Бог привёл радость нашему новорождённому. ;Предложение правильное.
Вот  такие  минусов  и  плюсов  есть  онлайн  обучению.;Ошибка: обучению. Нужно использовать: родительный падеж. Правильно: обучения
За последние 100 лет российской истории существует три доминирующих волн эмиграции.;Ошибка: волн. Нужно использовать: родительный падеж. Правильно: волны
Я вас не помню собственно, помню только, что вас было три сестры. ;Предложение правильное.
«Если так, то я знаю, что мне делать,  сказала она, и, чув ствуя поднимающееся в себе желание мести, взбежала наверх.  Я сама поеду к нему. ;Предложение правильное.
Они всего в семидесяти километрах от вас. ;Предложение правильное.
 спросил Сергей.  Не бросил, Серёжа ;Предложение правильное.
Перед  педагогической  практики  я  очень  волновалась  над  тем,  что  как  я  буду  работать  с  детьми.;Ошибка: практики. Нужно использовать: творительный падеж. Правильно: практикой
А  именно  благодаря  общения  между  культурами,  человечество  может  двигаться  вперед  как  одно  целое.;Ошибка: общения. Нужно использовать: дательный падеж. Правильно: общению
"Прошу"" Бо""га о милосемилосе""рдиирдии к вам. ";Предложение правильное.
 Не знаю, как вам сказать,  ответил князь,  только мне показалось, что в нём много какой-то больной страсти. ;Предложение правильное.
Мы  через  десят  лет  будем  ездит  на  электрокаре,  это  электреческие  машины,  она  экологический  чистая ,  от  него  не  выходит  дыма.;Ошибка: дыма. Нужно использовать: именительный падеж. Правильно: дым
Они кочевников  это значит , что они не жили на одном месте .;Ошибка: кочевников. Нужно использовать: именительный падеж. Правильно: кочевники
Это не было официальным приказом, но все бюрократы, читав эти слова, сразу начали называть имени Маяковского разные улицы, здания и т.;Ошибка: имени. Нужно использовать: творительный падеж. Правильно: именем
Это значит , что вам нравится спокойную , но интересная работа .;Ошибка: спокойную. Нужно использовать: именительный падеж. Правильно: спокойная
Он очень беспокоился о своих детях и думал, как они будут жить без него… Когда охранники стали говорить ему «ты», он начал нервничать. ;Предложение правильное.
Ещё интрересно, что университет продалжал работать во время Ленинградского блокада, зимой 1941 – 1942 годах.;Ошибка: годах. Нужно использовать: родительный падеж. Правильно: годов
Ладно, думаю, сейчас ты у меня увидишь ;Предложение правильное.
Общее собрание будет в четыре. ;Предложение правильное.
Страшный и умный дух, дух небытия говорил с тобой в пустыне. ;Предложение правильное.
Поскорее  начинайте же, рассказывайте свою историю;Предложение правильное.
Любовь,  которой  мы  выбираем  для  себя,  обязательна.;Ошибка: которой. Нужно использовать: винительный падеж. Правильно: которую
Я сделал притворно печальное лицо;Предложение правильное.
Я  из  Китая,  поэтому,  китаий  язык  я  говорит  очень  хорошо  если  вы  хотите  я  можно  с  ним  всё  изучат,  в  Китаи.  я  изучать  русский  язык,  а  вы  можно  изучать  китаий  язык.  я  думаю  вы  бууу  любит.;Ошибка: Китаи. Нужно использовать: предложный падеж. Правильно: Китае
Вообще  мы  в  Голландии  знаем  мало  о  восточном  фронт  в  этой  войне.;Ошибка: фронт. Нужно использовать: предложный падеж. Правильно: фронте
Боитесь, оттого и пришли;Предложение правильное.
Наполнив   ящик   печатника,   я   ждала  документ,   но   ничто   не  случилось.;Ошибка: ничто. Нужно использовать: родительный падеж. Правильно: ничего
" Нет, постойте,  сказала она, беря его за руку.  Вы этого не можете понять; вам, мужчинам, свободным и выбирающим, всегда ясно, кого вы любите. ";Предложение правильное.
Здесь очень необычного климат .;Ошибка: необычного. Нужно использовать: именительный падеж. Правильно: необычный
Автор предлагает что, использиванием бензина и выбрасиванием мусопра являются причины для ухудшения экологии.;Ошибка: причины. Нужно использовать: творительный падеж. Правильно: причинами
Также  я  поняла,  что  для  моего  же  благо,  мне  не  надо  оставлять  семестровые  работы  на  потом.;Ошибка: благо. Нужно использовать: родительный падеж. Правильно: блага
После  работы  её  надо  привозить  детей  домой  из  детского  сада,  готовить  ужин,  убирать,  стирать.;Ошибка: её. Нужно использовать: дательный падеж. Правильно: ей
Вчера анну переводила эти рассказы Чехова на английский язык .;Ошибка: анну. Нужно использовать: именительный падеж. Правильно: Анна
Сами видите,  ответил первый офицер;Предложение правильное.
Раньше  из-за  своего  лень,  я  нечего  не  добралась,  и  из-за  того  что  я  всех  дел  сделаю  на  одну  время  и  потом  появляется  ошибки  или  что-то  того.;Ошибка: лень. Нужно использовать: родительный падеж. Правильно: лени
Это могут быть даже дедов Морозы .;Ошибка: дедов. Нужно использовать: именительный падеж. Правильно: Деды
Но  главная,  самая  важная  опасность  соцсетями:  вы  никогда  не  знаете  точно,  с  кому  вы  общаетесь.;Ошибка: кому. Нужно использовать: творительный падеж. Правильно: кем
Эраст Петрович открыл дверь.  Входите, мой мальчик,  спокойно сказала леди Эстер.  Я вас жду. ;Предложение правильное.
Маша (стучит вилкой по тарелке). ;Предложение правильное.
Завтра он едет в таиландом .;Ошибка: таиландом. Нужно использовать: винительный падеж. Правильно: Таиланд
Конечно, у каждого преподавателя есть свой стиль, но более или менее я знаю, что ожидать.;Ошибка: что. Нужно использовать: родительный падеж. Правильно: чего
осень и зимой я люблю долго спать и встаю в 10 или в 11 утра .;Ошибка: осень. Нужно использовать: творительный падеж. Правильно: Осенью
Нет, нет и нет. ;Предложение правильное.
 Ох, нет, нет ;Предложение правильное.
И  все  это  залог  открытия  и  развития  применения  электричество.;Ошибка: электричество. Нужно использовать: родительный падеж. Правильно: электричества
Этот дом один из первых, который был построен в стиле модерн в России, и остаётся восхитительном примером развитие русской архитектуре и искусства.;Ошибка: развитие. Нужно использовать: родительный падеж. Правильно: развития
Если  я  учиться  на  онлайн- обучение,  я  могу  экономить  два  часа  в  дне.;Ошибка: обучение. Нужно использовать: предложный падеж. Правильно: обучении
Ему нравится находить в город интересные места .;Ошибка: город. Нужно использовать: предложный падеж. Правильно: городе
Это был семейного храм .;Ошибка: семейного. Нужно использовать: именительный падеж. Правильно: семейный
На вопрос, что же он там сделает и зачем идёт,  на этот вопрос он не находил ответа. ;Предложение правильное.
Через  десять  я  представляю  себя  таким  человеком,  который  восхищаются  мною  моя  семья  и  люди.;Ошибка: который. Нужно использовать: дательный падеж. Правильно: которым
Преподавание  в  России  ведётся  на  русском  языке,  поэтому  обучению  обычно  предшествует  годичный  курс  подготовительного  факультета,  который  начинается 1  октября  и  длится 7-10  месяцев. На  подготовительном  факультете  студенты  изучают  русский  язык  и  профильные  дисциплины,  в  зависимости  от  будущего  направления  обучения. Россия –  это  самый  лучший  выбор  для  получение  образования. Для  продолжения  обучения  многие  родители  принимают  решение  отправить  своих  детей,  окончивших  школу,  за  рубеж. Иностранцы  все  чаще  выбирают  вузы  России  для  обучения. Полученной  в  этой  стране  образование  высоко  ценят  на  родине  студентов.;Ошибка: получение. Нужно использовать: родительный падеж. Правильно: получения
Вы любили мою мать;Предложение правильное.
Например, в сфере литературоведении критики часто употребляют термин аллитерацию, чтобы обозначить повторение в стихотворной речи реже - в прозе) одинаковых согласных звуков с целью усиления выразительности художественной речи.;"Ошибка: аллитерацию. Нужно использовать: родительный падеж. Правильно: ""аллитерация"","
