Input;Output
Это значит , что вам нравится спокойную , но интересная работа .;Ошибка: спокойную. Нужно использовать: именительный падеж. Правильно: спокойная
Вы очень хорошего и серьёзный партнёр , и вы любите серьёзные фильмы .;Ошибка: хорошего. Нужно использовать: именительный падеж. Правильно: хороший
вашим любимый цвет жёлтый ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш
Это значит , что вам нравится всё новым и интересное .;Ошибка: новым. Нужно использовать: именительный падеж. Правильно: новое
Вы экстраверта .;Ошибка: экстраверта. Нужно использовать: именительный падеж. Правильно: экстраверт
Вы очень современного человек .;Ошибка: современного. Нужно использовать: именительный падеж. Правильно: современный
Вы любите техникой и гаджеты .;Ошибка: техникой. Нужно использовать: винительный падеж. Правильно: технику
вашим любимый цвет синий ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш
Это значит , что вы очень спокойного , гармоничный человек .;Ошибка: спокойного. Нужно использовать: именительный падеж. Правильно: спокойный
Вы интроверта .;Ошибка: интроверта. Нужно использовать: именительный падеж. Правильно: интроверт
Вам нравится оперу и классическая музыка .;Ошибка: оперу. Нужно использовать: именительный падеж. Правильно: опера
вашим любимый цвет фиолетовый ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш
Вы креативного и эмоциональный человек .;Ошибка: креативного. Нужно использовать: именительный падеж. Правильно: креативный
Вы любите музыкой и искусство , и вы умеете рисовать .;Ошибка: музыкой. Нужно использовать: винительный падеж. Правильно: музыку
вашим любимый цвет чёрный ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш
Вы очень серьёзного человек .;Ошибка: серьёзного. Нужно использовать: именительный падеж. Правильно: серьёзный
Вы делаете карьерой .;Ошибка: карьерой. Нужно использовать: винительный падеж. Правильно: карьеру
Вы всегда лидера .;Ошибка: лидера. Нужно использовать: именительный падеж. Правильно: лидер
вашим любимый цвет коричневый ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш
Вы спокойного человек , любите комфорт , но вы любите всё контролировать .;Ошибка: спокойного. Нужно использовать: именительный падеж. Правильно: спокойный
Вы любите литературой и хорошее кино .;Ошибка: литературой. Нужно использовать: винительный падеж. Правильно: литературу
Это старинного город .;Ошибка: старинного. Нужно использовать: именительный падеж. Правильно: старинный
Он маленького , но очень красивый .;Ошибка: маленького. Нужно использовать: именительный падеж. Правильно: маленький
— Как дело ?;Ошибка: дело. Нужно использовать: именительный падеж. Правильно: дела
Давай пойдём сегодня вечером в кино !;Ошибка: кино. Нужно использовать: предложный падеж. Правильно: кино
Сейчас идёт интересного фильм !;Ошибка: интересного. Нужно использовать: именительный падеж. Правильно: интересный
Сегодня плохую погода .;Ошибка: плохую. Нужно использовать: именительный падеж. Правильно: плохая
— Давай пойдём в пятницей ?;Ошибка: пятницей. Нужно использовать: винительный падеж. Правильно: пятницу
— Нет , в пятницей вечером я иду в театр. — А в выходные ?;Ошибка: пятницей. Нужно использовать: винительный падеж. Правильно: пятницу
— В субботой я пойду на выставку , а в воскресенье в зоопарк .;Ошибка: субботой. Нужно использовать: винительный падеж. Правильно: субботу
— Давай пойдём в понедельником .;Ошибка: понедельником. Нужно использовать: винительный падеж. Правильно: понедельник
— понедельником день тяжёлый ... давай пойдём в кино потом .;Ошибка: понедельником. Нужно использовать: именительный падеж. Правильно: Понедельник
Во вторником я еду в Сочи .;Ошибка: вторником. Нужно использовать: винительный падеж. Правильно: вторник
олега идёт на выставку .;Ошибка: олега. Нужно использовать: именительный падеж. Правильно: Олег
ивана работает в библиотеке .;Ошибка: ивана. Нужно использовать: именительный падеж. Правильно: Иван
Мы живём в самару .;Ошибка: самару. Нужно использовать: предложный падеж. Правильно: Самаре
Вы едете на выходными в Москву .;Ошибка: выходными. Нужно использовать: винительный падеж. Правильно: выходные
В пятницей я и моя подруга Анна идём в театр на оперу .;Ошибка: пятницей. Нужно использовать: винительный падеж. Правильно: пятницу
Завтра он едет в таиландом .;Ошибка: таиландом. Нужно использовать: винительный падеж. Правильно: Таиланд
В таиланд работает его друг .;Ошибка: таиланд. Нужно использовать: предложный падеж. Правильно: Таиланде
хуанита едет в Барселону .;Ошибка: хуанита. Нужно использовать: именительный падеж. Правильно: Хуанита
В барселону живёт её семья .;Ошибка: барселону. Нужно использовать: предложный падеж. Правильно: Барселоне
этим город находится на юге России .;Ошибка: этим. Нужно использовать: именительный падеж. Правильно: Этот
Я часто слушаю оперой « Аида » .;Ошибка: оперой. Нужно использовать: винительный падеж. Правильно: оперу
Мне очень нравится эту опера .;Ошибка: эту. Нужно использовать: именительный падеж. Правильно: эта
Я часто слушаю оперой « Аида » , которая мне очень нравится .;Ошибка: оперой. Нужно использовать: винительный падеж. Правильно: оперу
Мы часто ужинаем в кафе , которое работает поздно вечером .;Ошибка: кафе. Нужно использовать: предложный падеж. Правильно: кафе
Они играют на чемпионат мира .;Ошибка: чемпионат. Нужно использовать: предложный падеж. Правильно: чемпионате
Вот наши футболисты , которые играют на чемпионате мира .;Ошибка: наши. Нужно использовать: именительный падеж. Правильно: наши
Кто такую студент ?;Ошибка: такую. Нужно использовать: именительный падеж. Правильно: такой
человека , который учится в университете .;Ошибка: человека. Нужно использовать: именительный падеж. Правильно: Человек
Кто такую актриса ?;Ошибка: такую. Нужно использовать: именительный падеж. Правильно: такая
Это женщину , которая играет в театре или в кино .;Ошибка: женщину. Нужно использовать: именительный падеж. Правильно: женщина
Кто такие врачи ?;Ошибка: такие. Нужно использовать: именительный падеж. Правильно: такие
Это людей , которые работают в поликлинике или больнице .;Ошибка: людей. Нужно использовать: именительный падеж. Правильно: люди
Что такое « дача » ?;Ошибка: такое. Нужно использовать: именительный падеж. Правильно: такое
дачу — это летний дом , который находится не в городе .;Ошибка: дачу. Нужно использовать: именительный падеж. Правильно: Дача
Что такое Эрмитаж ?;Ошибка: такое. Нужно использовать: именительный падеж. Правильно: такое
московское метро — самое красивое метро в мире Метро — это самый популярный транспорт в Москве .;Ошибка: московское. Нужно использовать: именительный падеж. Правильно: Московское
Во-первых , это очень удобного , быстрый и недорогой транспорт .;Ошибка: удобного. Нужно использовать: именительный падеж. Правильно: удобный
Знаете , что такое пробки ?;Ошибка: такое. Нужно использовать: именительный падеж. Правильно: такое
станцию « Маяковская » Пробки — это когда машины едут очень-очень медленно или даже стоят , потому что на дороге проблемы .;Ошибка: станцию. Нужно использовать: именительный падеж. Правильно: Станция
Во-вторых , московское метро работает очень стабильно , поэтому ездить на нём удобно и комфортно .;Ошибка: московское. Нужно использовать: именительный падеж. Правильно: московское
Когда людей едут в метро , они смотрят фильмы , сериалы или новости онлайн , читают книги или журналы .;Ошибка: людей. Нужно использовать: именительный падеж. Правильно: люди
Это настоящего подземный музей !;Ошибка: настоящего. Нужно использовать: именительный падеж. Правильно: настоящий
каждым день вы можете бесплатно слушать музыку в метро !;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: Каждый
музыкантов в метро играют на гитаре , на балалайке , на саксофоне или поют песни и оперные арии .;Ошибка: музыкантов. Нужно использовать: именительный падеж. Правильно: Музыканты
Иногда здесь выступают известных русские музыканты .;Ошибка: известных. Нужно использовать: именительный падеж. Правильно: известные
Смотрите информацией об этом на сайте .;Ошибка: информацией. Нужно использовать: винительный падеж. Правильно: информацию
Подписывайтесь на « инстаграм » московского метро .;Ошибка: инстаграм. Нужно использовать: предложный падеж. Правильно: Инстаграм
Слушайте музыкой в метро и смотрите новые выставки .;Ошибка: музыкой. Нужно использовать: винительный падеж. Правильно: музыку
Вчера анну переводила эти рассказы Чехова на английский язык .;Ошибка: анну. Нужно использовать: именительный падеж. Правильно: Анна
На урок мы переводили стихи Пушкина .;Ошибка: урок. Нужно использовать: предложный падеж. Правильно: уроке
Кто переводил стихами Пушкина на уроке ?;Ошибка: стихами. Нужно использовать: винительный падеж. Правильно: стихи
Сегодня анну работает , вчера она тоже работала , а в воскресенье отдыхала .;Ошибка: анну. Нужно использовать: именительный падеж. Правильно: Анна
кристиана сейчас изучает русский язык , а раньше он изучал французский язык .;Ошибка: кристиана. Нужно использовать: именительный падеж. Правильно: Кристиан
Позавчера маму готовила борщ , а сегодня она готовит пельмени .;Ошибка: маму. Нужно использовать: именительный падеж. Правильно: мама
Раньше студентов не делали домашнее задание , и сегодня они тоже не делают домашнее задание .;Ошибка: студентов. Нужно использовать: именительный падеж. Правильно: студенты
- Нет , к сожаление , я хожу в кино очень редко .;Ошибка: сожаление. Нужно использовать: дательный падеж. Правильно: сожалению
В барселону это недорого .;Ошибка: барселону. Нужно использовать: предложный падеж. Правильно: Барселоне
Мне нравится русское кино .;Ошибка: русское. Нужно использовать: именительный падеж. Правильно: русское
каждым день я хожу в бассейн .;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: Каждый
каждым день дети идут в школу .;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: Каждый
Вы любите ходить в гостей ?;Ошибка: гостей. Нужно использовать: именительный падеж. Правильно: гости
каждым четверг я и мои друзья ходят в баню .;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: Каждый
В москву я очень люблю ходить пешком .;Ошибка: москву. Нужно использовать: предложный падеж. Правильно: Москве
Мне нравится оперу , поэтому мы часто ходим в театр. В субботу Катя обычно ходит в парикмахерскую .;Ошибка: оперу. Нужно использовать: именительный падеж. Правильно: опера
- привет !;Ошибка: привет. Нужно использовать: именительный падеж. Правильно: Привет
Меня зовут васю .;Ошибка: васю. Нужно использовать: именительный падеж. Правильно: Вася
Я курьера .;Ошибка: курьера. Нужно использовать: именительный падеж. Правильно: курьер
мою работа - ходить и ездить .;Ошибка: мою. Нужно использовать: именительный падеж. Правильно: Моя
каждым день я хожу пешком или езжу на метро или на самокате .;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: Каждый
менеджеров в офисе очень любят кофе и пончики .;Ошибка: менеджеров. Нужно использовать: именительный падеж. Правильно: Менеджеры
А я люблю зелёного чай и пирожки .;Ошибка: зелёного. Нужно использовать: винительный падеж. Правильно: зелёный
кристиана вспоминает : Вы уже знаете , что я был в России , но был очень давно .;Ошибка: кристиана. Нужно использовать: именительный падеж. Правильно: Кристиан
Я ездил в москвой и в Петербург .;Ошибка: москвой. Нужно использовать: винительный падеж. Правильно: Москву
Вот смотрите , это я , это москву .;Ошибка: москву. Нужно использовать: именительный падеж. Правильно: Москва
Он тоже модельера-дизайнера .;Ошибка: модельера-дизайнера. Нужно использовать: именительный падеж. Правильно: модельер-дизайнер
В москву я был в Третьяковской галерее , в Кремле , гулял в парке Горького .;Ошибка: москву. Нужно использовать: предложный падеж. Правильно: Москве
москву — очень красивый город !;Ошибка: москву. Нужно использовать: именительный падеж. Правильно: Москва
Там реку Нева и красивые мосты .;Ошибка: реку. Нужно использовать: именительный падеж. Правильно: река
лето там белые ночи .;Ошибка: лето. Нужно использовать: творительный падеж. Правильно: Летом
- Да , я в россию год назад .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России
Я в москву , в Петербурге и в Пушкине .;Ошибка: москву. Нужно использовать: предложный падеж. Правильно: Москве
пушкина - это маленький , но очень красивый город .;Ошибка: пушкина. Нужно использовать: именительный падеж. Правильно: Пушкин
Там русскую императрица .;Ошибка: русскую. Нужно использовать: именительный падеж. Правильно: русская
- Да , я очень давно - в россию .;Ошибка: россию. Нужно использовать: родительный падеж. Правильно: России
- Да , конечно , я в россию .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России
Я во владивостоком и в Хабаровск .;Ошибка: владивостоком. Нужно использовать: винительный падеж. Правильно: Владивосток
К сожаление , я в Москве и на западе России .;Ошибка: сожаление. Нужно использовать: дательный падеж. Правильно: сожалению
васю пошёл в магазин , шёл в магазин 10 минут , пришёл в магазин , был в магазине полчаса , пошёл домой из магазина , шёл домой 10 минут , пришёл домой .;Ошибка: васю. Нужно использовать: именительный падеж. Правильно: Вася
васю поехал в Казань , ехал в Казань 12 часов , приехал в Казань , был в Казани три дня на выставке , поехал в Москву из Казани , ехал в Москву 12 часов , приехал в Москву .;Ошибка: васю. Нужно использовать: именительный падеж. Правильно: Вася
Он сейчас в москву .;Ошибка: москву. Нужно использовать: предложный падеж. Правильно: Москве
лето , когда я много работаю , я почти каждый день встаю в 5 или в 6 утра .;Ошибка: лето. Нужно использовать: творительный падеж. Правильно: Летом
осень и зимой я люблю долго спать и встаю в 10 или в 11 утра .;Ошибка: осень. Нужно использовать: творительный падеж. Правильно: Осенью
Обычно я ложусь спать в 12 часы или в час ночи .;Ошибка: часы. Нужно использовать: родительный падеж. Правильно: часов
Если у меня занятие в университете , то я встаю в 8 утра .;Ошибка: занятие. Нужно использовать: именительный падеж. Правильно: занятия
В выходными я очень люблю много спать .;Ошибка: выходными. Нужно использовать: винительный падеж. Правильно: выходные
Я встаю в 11 или 12 часы .;Ошибка: часы. Нужно использовать: родительный падеж. Правильно: часов
В буднями я ложусь спать рано , в 10 часов вечера , а в выходные очень поздно .;Ошибка: буднями. Нужно использовать: винительный падеж. Правильно: будни
Иногда в 2 или в 3 час ночи .;Ошибка: час. Нужно использовать: родительный падеж. Правильно: часа
Я творческого человек .;Ошибка: творческого. Нужно использовать: именительный падеж. Правильно: творческий
Я встаю когда уже не хочу спать или когда фёдора хочет завтракать .;Ошибка: фёдора. Нужно использовать: именительный падеж. Правильно: Фёдор
васю всегда ужинал рано , в 7 часов .;Ошибка: васю. Нужно использовать: именительный падеж. Правильно: Вася
А сегодня васю поужинал в 9 часов .;Ошибка: васю. Нужно использовать: именительный падеж. Правильно: Вася
Раньше таню никогда не писала рассказы .;Ошибка: таню. Нужно использовать: именительный падеж. Правильно: Таня
Я редко смотрел фильмы в кинотеатре .;Ошибка: фильмы. Нужно использовать: винительный падеж. Правильно: фильмы
Но недавно я посмотрел в кинотеатр очень интересный новый фильм .;Ошибка: кинотеатр. Нужно использовать: предложный падеж. Правильно: кинотеатре
привет !;Ошибка: привет. Нужно использовать: именительный падеж. Правильно: Привет
Меня зовут андрея .;Ошибка: андрея. Нужно использовать: именительный падеж. Правильно: Андрей
Я веб-дизайнера .;Ошибка: веб-дизайнера. Нужно использовать: именительный падеж. Правильно: веб-дизайнер
Потом я одеваюсь и гуляю 15 минуты в парке .;Ошибка: минуты. Нужно использовать: родительный падеж. Правильно: минут
У меня есть собаку Шарик , поэтому мы гуляем два раза в день .;Ошибка: собаку. Нужно использовать: именительный падеж. Правильно: собака
Я фрилансера , это значит я работаю дома .;Ошибка: фрилансера. Нужно использовать: именительный падеж. Правильно: фрилансер
клиентов пишут письма каждый день .;Ошибка: клиентов. Нужно использовать: именительный падеж. Правильно: Клиенты
Потом я недолго отдыхаю в 11 часы : я пью кофе и ем булочку .;Ошибка: часы. Нужно использовать: родительный падеж. Правильно: часов
Потом я много говорю по телефон или по скайпу .;Ошибка: телефон. Нужно использовать: дательный падеж. Правильно: телефону
клиентов очень часто звонят .;Ошибка: клиентов. Нужно использовать: именительный падеж. Правильно: Клиенты
день я обедаю .;Ошибка: день. Нужно использовать: винительный падеж. Правильно: Днём
Я делаю обедом сам или заказываю еду в интернете .;Ошибка: обедом. Нужно использовать: винительный падеж. Правильно: обед
После обед я лежу на диване , смотрю телевизор или снова иду гулять в парк .;Ошибка: обед. Нужно использовать: родительный падеж. Правильно: обеда
Я веб- дизайнера .;Ошибка: дизайнера. Нужно использовать: именительный падеж. Правильно: дизайнер
Вечером я снова гуляю в парку .;Ошибка: парку. Нужно использовать: предложный падеж. Правильно: парке
Из парк иногда я хожу в магазин и покупаю там продукты , а иногда заказываю в интернете , потому что мне не нравится ходить в магазин .;Ошибка: парк. Нужно использовать: родительный падеж. Правильно: парка
Потом в часом ночи я ложусь спать .;Ошибка: часом. Нужно использовать: винительный падеж. Правильно: час
Конечно , погоду не такая холодная , как в России зимой .;Ошибка: погоду. Нужно использовать: именительный падеж. Правильно: погода
Сейчас , в январь +5 .;Ошибка: январь. Нужно использовать: предложный падеж. Правильно: январе
холодного ветер .;Ошибка: холодного. Нужно использовать: именительный падеж. Правильно: Холодный
Много снег бывает на севере Японии .;Ошибка: снег. Нужно использовать: родительный падеж. Правильно: снега
Я не знаю , к сожаление или к счастью , но в Барселоне зимой нет снега .;Ошибка: сожаление. Нужно использовать: дательный падеж. Правильно: сожалению
хорошую погода заканчивается в ноябре .;Ошибка: хорошую. Нужно использовать: именительный падеж. Правильно: Хорошая
Сейчас здесь +12 градусы .;Ошибка: градусы. Нужно использовать: родительный падеж. Правильно: градусов
Я не очень люблю зимой в Испании , потому что погода часто меняется , сильный ветер , ночью очень холодно , а утром туман .;Ошибка: зимой. Нужно использовать: винительный падеж. Правильно: зиму
зиму в Москве настоящая : обычно идёт снег , иногда бывает сильный мороз .;Ошибка: зиму. Нужно использовать: именительный падеж. Правильно: Зима
Например , сегодня ночью температуру была –23 градуса .;Ошибка: температуру. Нужно использовать: именительный падеж. Правильно: температура
весну в Москве начинается обычно в апреле или в конце марта .;Ошибка: весну. Нужно использовать: именительный падеж. Правильно: Весна
температуру примерно +15 , а иногда в мае может быть +25 градусов .;Ошибка: температуру. Нужно использовать: именительный падеж. Правильно: Температура
Я очень люблю летом в Москве : летом тепло и солнечно , иногда даже бывает жарко , +30 или +35 градусов , в июне часто бывают грозы .;Ошибка: летом. Нужно использовать: винительный падеж. Правильно: лето
В сентябрь здесь почти как летом : погода тёплая , солнечная , но не жаркая .;Ошибка: сентябрь. Нужно использовать: предложный падеж. Правильно: сентябре
А в октябрь часто идут дожди .;Ошибка: октябрь. Нужно использовать: предложный падеж. Правильно: октябре
