Input;Output;part of speech;number
Вы очень интересного человек .;Ошибка: интересного. Нужно использовать: именительный падеж. Правильно: интересный;ADJ;Sing
Вы любите баланс и гармонию .;Ошибка: баланс. Нужно использовать: винительный падеж. Правильно: баланс;NOUN;Sing
Вы любите музыкой и поэзию .;Ошибка: музыкой. Нужно использовать: винительный падеж. Правильно: музыку;NOUN;Sing
Вы любите розового ?;Ошибка: розового. Нужно использовать: винительный падеж. Правильно: розовый;ADJ;Sing
Это вашим любимый цвет ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: ваш;PRON;Sing
Вы очень романтичного и немного наивный человек .;Ошибка: романтичного. Нужно использовать: именительный падеж. Правильно: романтичный;ADJ;Sing
Вы оптимиста и экстраверт .;Ошибка: оптимиста. Нужно использовать: именительный падеж. Правильно: оптимист;NOUN;Sing
Вам нравится театр и балет .;Ошибка: театр. Нужно использовать: именительный падеж. Правильно: театр;NOUN;Sing
вашим любимый цвет зелёный ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш;PRON;Sing
Это значит , что вам нравится спокойную , но интересная работа .;Ошибка: спокойную. Нужно использовать: именительный падеж. Правильно: спокойная;ADJ;Sing
Вы очень хорошего и серьёзный партнёр , и вы любите серьёзные фильмы .;Ошибка: хорошего. Нужно использовать: именительный падеж. Правильно: хороший;ADJ;Sing
вашим любимый цвет жёлтый ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш;PRON;Sing
Это значит , что вам нравится всё новым и интересное .;Ошибка: новым. Нужно использовать: именительный падеж. Правильно: новое;ADJ;Sing
Вы экстраверта .;Ошибка: экстраверта. Нужно использовать: именительный падеж. Правильно: экстраверт;NOUN;Sing
Вы очень современного человек .;Ошибка: современного. Нужно использовать: именительный падеж. Правильно: современный;ADJ;Sing
Вы любите техникой и гаджеты .;Ошибка: техникой. Нужно использовать: винительный падеж. Правильно: технику;NOUN;Sing
вашим любимый цвет синий ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш;PRON;Sing
Это значит , что вы очень спокойного , гармоничный человек .;Ошибка: спокойного. Нужно использовать: именительный падеж. Правильно: спокойный;ADJ;Sing
Вы интроверта .;Ошибка: интроверта. Нужно использовать: именительный падеж. Правильно: интроверт;NOUN;Sing
Вам нравится оперу и классическая музыка .;Ошибка: оперу. Нужно использовать: именительный падеж. Правильно: опера;NOUN;Sing
вашим любимый цвет фиолетовый ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш;PRON;Sing
Вы креативного и эмоциональный человек .;Ошибка: креативного. Нужно использовать: именительный падеж. Правильно: креативный;ADJ;Sing
Вы любите музыкой и искусство , и вы умеете рисовать .;Ошибка: музыкой. Нужно использовать: винительный падеж. Правильно: музыку;NOUN;Sing
вашим любимый цвет чёрный ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш;PRON;Sing
Вы очень серьёзного человек .;Ошибка: серьёзного. Нужно использовать: именительный падеж. Правильно: серьёзный;ADJ;Sing
Вы делаете карьерой .;Ошибка: карьерой. Нужно использовать: винительный падеж. Правильно: карьеру;NOUN;Sing
Вы всегда лидера .;Ошибка: лидера. Нужно использовать: именительный падеж. Правильно: лидер;NOUN;Sing
вашим любимый цвет коричневый ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш;PRON;Sing
Вы спокойного человек , любите комфорт , но вы любите всё контролировать .;Ошибка: спокойного. Нужно использовать: именительный падеж. Правильно: спокойный;ADJ;Sing
Вы любите литературой и хорошее кино .;Ошибка: литературой. Нужно использовать: винительный падеж. Правильно: литературу;NOUN;Sing
Это старинного город .;Ошибка: старинного. Нужно использовать: именительный падеж. Правильно: старинный;ADJ;Sing
Он маленького , но очень красивый .;Ошибка: маленького. Нужно использовать: именительный падеж. Правильно: маленький;ADJ;Sing
— Как дело ?;Ошибка: дело. Нужно использовать: именительный падеж. Правильно: дела;NOUN;Plur
Давай пойдём сегодня вечером в кино !;Ошибка: кино. Нужно использовать: предложный падеж. Правильно: кино;NOUN;Sing
Сейчас идёт интересного фильм !;Ошибка: интересного. Нужно использовать: именительный падеж. Правильно: интересный;ADJ;Sing
Сегодня плохую погода .;Ошибка: плохую. Нужно использовать: именительный падеж. Правильно: плохая;ADJ;Sing
— Давай пойдём в пятницей ?;Ошибка: пятницей. Нужно использовать: винительный падеж. Правильно: пятницу;NOUN;Sing
— Нет , в пятницей вечером я иду в театр. — А в выходные ?;Ошибка: пятницей. Нужно использовать: винительный падеж. Правильно: пятницу;NOUN;Sing
— В субботой я пойду на выставку , а в воскресенье в зоопарк .;Ошибка: субботой. Нужно использовать: винительный падеж. Правильно: субботу;NOUN;Sing
— Давай пойдём в понедельником .;Ошибка: понедельником. Нужно использовать: винительный падеж. Правильно: понедельник;NOUN;Sing
— понедельником день тяжёлый ... давай пойдём в кино потом .;Ошибка: понедельником. Нужно использовать: именительный падеж. Правильно: Понедельник;NOUN;Sing
Во вторником я еду в Сочи .;Ошибка: вторником. Нужно использовать: винительный падеж. Правильно: вторник;NOUN;Sing
олега идёт на выставку .;Ошибка: олега. Нужно использовать: именительный падеж. Правильно: Олег;NOUN;Sing
ивана работает в библиотеке .;Ошибка: ивана. Нужно использовать: именительный падеж. Правильно: Иван;NOUN;Sing
Мы живём в самару .;Ошибка: самару. Нужно использовать: предложный падеж. Правильно: Самаре;NOUN;Sing
Вы едете на выходными в Москву .;Ошибка: выходными. Нужно использовать: винительный падеж. Правильно: выходные;NOUN;Plur
В пятницей я и моя подруга Анна идём в театр на оперу .;Ошибка: пятницей. Нужно использовать: винительный падеж. Правильно: пятницу;NOUN;Sing
Завтра он едет в таиландом .;Ошибка: таиландом. Нужно использовать: винительный падеж. Правильно: Таиланд;NOUN;Sing
В таиланд работает его друг .;Ошибка: таиланд. Нужно использовать: предложный падеж. Правильно: Таиланде;NOUN;Sing
хуанита едет в Барселону .;Ошибка: хуанита. Нужно использовать: именительный падеж. Правильно: Хуанита;NOUN;Sing
В барселону живёт её семья .;Ошибка: барселону. Нужно использовать: предложный падеж. Правильно: Барселоне;NOUN;Sing
этим город находится на юге России .;Ошибка: этим. Нужно использовать: именительный падеж. Правильно: Этот;PRON;Sing
Я часто слушаю оперой « Аида » .;Ошибка: оперой. Нужно использовать: винительный падеж. Правильно: оперу;NOUN;Sing
Мне очень нравится эту опера .;Ошибка: эту. Нужно использовать: именительный падеж. Правильно: эта;PRON;Sing
Я часто слушаю оперой « Аида » , которая мне очень нравится .;Ошибка: оперой. Нужно использовать: винительный падеж. Правильно: оперу;NOUN;Sing
Мы часто ужинаем в кафе , которое работает поздно вечером .;Ошибка: кафе. Нужно использовать: предложный падеж. Правильно: кафе;NOUN;Sing
Они играют на чемпионат мира .;Ошибка: чемпионат. Нужно использовать: предложный падеж. Правильно: чемпионате;NOUN;Sing
Вот наши футболисты , которые играют на чемпионате мира .;Ошибка: наши. Нужно использовать: именительный падеж. Правильно: наши;PRON;Plur
Кто такую студент ?;Ошибка: такую. Нужно использовать: именительный падеж. Правильно: такой;PRON;Sing
человека , который учится в университете .;Ошибка: человека. Нужно использовать: именительный падеж. Правильно: Человек;NOUN;Sing
Кто такую актриса ?;Ошибка: такую. Нужно использовать: именительный падеж. Правильно: такая;PRON;Sing
Это женщину , которая играет в театре или в кино .;Ошибка: женщину. Нужно использовать: именительный падеж. Правильно: женщина;NOUN;Sing
Кто такие врачи ?;Ошибка: такие. Нужно использовать: именительный падеж. Правильно: такие;PRON;Plur
Это людей , которые работают в поликлинике или больнице .;Ошибка: людей. Нужно использовать: именительный падеж. Правильно: люди;NOUN;Plur
Что такое « дача » ?;Ошибка: такое. Нужно использовать: именительный падеж. Правильно: такое;PRON;Sing
дачу — это летний дом , который находится не в городе .;Ошибка: дачу. Нужно использовать: именительный падеж. Правильно: Дача;NOUN;Sing
Что такое Эрмитаж ?;Ошибка: такое. Нужно использовать: именительный падеж. Правильно: такое;PRON;Sing
московское метро — самое красивое метро в мире Метро — это самый популярный транспорт в Москве .;Ошибка: московское. Нужно использовать: именительный падеж. Правильно: Московское;ADJ;Sing
Во-первых , это очень удобного , быстрый и недорогой транспорт .;Ошибка: удобного. Нужно использовать: именительный падеж. Правильно: удобный;ADJ;Sing
Знаете , что такое пробки ?;Ошибка: такое. Нужно использовать: именительный падеж. Правильно: такое;PRON;Sing
станцию « Маяковская » Пробки — это когда машины едут очень-очень медленно или даже стоят , потому что на дороге проблемы .;Ошибка: станцию. Нужно использовать: именительный падеж. Правильно: Станция;NOUN;Sing
Во-вторых , московское метро работает очень стабильно , поэтому ездить на нём удобно и комфортно .;Ошибка: московское. Нужно использовать: именительный падеж. Правильно: московское;ADJ;Sing
Когда людей едут в метро , они смотрят фильмы , сериалы или новости онлайн , читают книги или журналы .;Ошибка: людей. Нужно использовать: именительный падеж. Правильно: люди;NOUN;Plur
Это настоящего подземный музей !;Ошибка: настоящего. Нужно использовать: именительный падеж. Правильно: настоящий;ADJ;Sing
каждым день вы можете бесплатно слушать музыку в метро !;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: Каждый;PRON;Sing
музыкантов в метро играют на гитаре , на балалайке , на саксофоне или поют песни и оперные арии .;Ошибка: музыкантов. Нужно использовать: именительный падеж. Правильно: Музыканты;NOUN;Plur
Иногда здесь выступают известных русские музыканты .;Ошибка: известных. Нужно использовать: именительный падеж. Правильно: известные;ADJ;Plur
Смотрите информацией об этом на сайте .;Ошибка: информацией. Нужно использовать: винительный падеж. Правильно: информацию;NOUN;Sing
Подписывайтесь на « инстаграм » московского метро .;Ошибка: инстаграм. Нужно использовать: предложный падеж. Правильно: Инстаграм;NOUN;Sing
Слушайте музыкой в метро и смотрите новые выставки .;Ошибка: музыкой. Нужно использовать: винительный падеж. Правильно: музыку;NOUN;Sing
Вчера анну переводила эти рассказы Чехова на английский язык .;Ошибка: анну. Нужно использовать: именительный падеж. Правильно: Анна;NOUN;Sing
На урок мы переводили стихи Пушкина .;Ошибка: урок. Нужно использовать: предложный падеж. Правильно: уроке;NOUN;Sing
Кто переводил стихами Пушкина на уроке ?;Ошибка: стихами. Нужно использовать: винительный падеж. Правильно: стихи;NOUN;Plur
Сегодня анну работает , вчера она тоже работала , а в воскресенье отдыхала .;Ошибка: анну. Нужно использовать: именительный падеж. Правильно: Анна;NOUN;Sing
кристиана сейчас изучает русский язык , а раньше он изучал французский язык .;Ошибка: кристиана. Нужно использовать: именительный падеж. Правильно: Кристиан;NOUN;Sing
Позавчера маму готовила борщ , а сегодня она готовит пельмени .;Ошибка: маму. Нужно использовать: именительный падеж. Правильно: мама;NOUN;Sing
Раньше студентов не делали домашнее задание , и сегодня они тоже не делают домашнее задание .;Ошибка: студентов. Нужно использовать: именительный падеж. Правильно: студенты;NOUN;Plur
- Нет , к сожаление , я хожу в кино очень редко .;Ошибка: сожаление. Нужно использовать: дательный падеж. Правильно: сожалению;NOUN;Sing
В барселону это недорого .;Ошибка: барселону. Нужно использовать: предложный падеж. Правильно: Барселоне;NOUN;Sing
Мне нравится русское кино .;Ошибка: русское. Нужно использовать: именительный падеж. Правильно: русское;ADJ;Sing
каждым день я хожу в бассейн .;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: Каждый;PRON;Sing
каждым день дети идут в школу .;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: Каждый;PRON;Sing
Вы любите ходить в гостей ?;Ошибка: гостей. Нужно использовать: именительный падеж. Правильно: гости;NOUN;Plur
каждым четверг я и мои друзья ходят в баню .;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: Каждый;PRON;Sing
В москву я очень люблю ходить пешком .;Ошибка: москву. Нужно использовать: предложный падеж. Правильно: Москве;NOUN;Sing
Мне нравится оперу , поэтому мы часто ходим в театр. В субботу Катя обычно ходит в парикмахерскую .;Ошибка: оперу. Нужно использовать: именительный падеж. Правильно: опера;NOUN;Sing
Меня зовут васю .;Ошибка: васю. Нужно использовать: именительный падеж. Правильно: Вася;NOUN;Sing
Я курьера .;Ошибка: курьера. Нужно использовать: именительный падеж. Правильно: курьер;NOUN;Sing
мою работа - ходить и ездить .;Ошибка: мою. Нужно использовать: именительный падеж. Правильно: Моя;PRON;Sing
каждым день я хожу пешком или езжу на метро или на самокате .;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: Каждый;PRON;Sing
менеджеров в офисе очень любят кофе и пончики .;Ошибка: менеджеров. Нужно использовать: именительный падеж. Правильно: Менеджеры;NOUN;Plur
А я люблю зелёного чай и пирожки .;Ошибка: зелёного. Нужно использовать: винительный падеж. Правильно: зелёный;ADJ;Sing
кристиана вспоминает : Вы уже знаете , что я был в России , но был очень давно .;Ошибка: кристиана. Нужно использовать: именительный падеж. Правильно: Кристиан;NOUN;Sing
Я ездил в москвой и в Петербург .;Ошибка: москвой. Нужно использовать: винительный падеж. Правильно: Москву;NOUN;Sing
Вот смотрите , это я , это москву .;Ошибка: москву. Нужно использовать: именительный падеж. Правильно: Москва;NOUN;Sing
Он тоже модельера-дизайнера .;Ошибка: модельера-дизайнера. Нужно использовать: именительный падеж. Правильно: модельер-дизайнер;NOUN;Sing
В москву я был в Третьяковской галерее , в Кремле , гулял в парке Горького .;Ошибка: москву. Нужно использовать: предложный падеж. Правильно: Москве;NOUN;Sing
москву — очень красивый город !;Ошибка: москву. Нужно использовать: именительный падеж. Правильно: Москва;NOUN;Sing
Там реку Нева и красивые мосты .;Ошибка: реку. Нужно использовать: именительный падеж. Правильно: река;NOUN;Sing
лето там белые ночи .;Ошибка: лето. Нужно использовать: творительный падеж. Правильно: Летом;NOUN;Sing
- Да , я в россию год назад .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России;NOUN;Sing
Я в москву , в Петербурге и в Пушкине .;Ошибка: москву. Нужно использовать: предложный падеж. Правильно: Москве;NOUN;Sing
пушкина - это маленький , но очень красивый город .;Ошибка: пушкина. Нужно использовать: именительный падеж. Правильно: Пушкин;NOUN;Sing
Там русскую императрица .;Ошибка: русскую. Нужно использовать: именительный падеж. Правильно: русская;ADJ;Sing
- Да , я очень давно - в россию .;Ошибка: россию. Нужно использовать: родительный падеж. Правильно: России;NOUN;Sing
- Да , конечно , я в россию .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России;NOUN;Sing
Я во владивостоком и в Хабаровск .;Ошибка: владивостоком. Нужно использовать: винительный падеж. Правильно: Владивосток;NOUN;Sing
К сожаление , я в Москве и на западе России .;Ошибка: сожаление. Нужно использовать: дательный падеж. Правильно: сожалению;NOUN;Sing
васю пошёл в магазин , шёл в магазин 10 минут , пришёл в магазин , был в магазине полчаса , пошёл домой из магазина , шёл домой 10 минут , пришёл домой .;Ошибка: васю. Нужно использовать: именительный падеж. Правильно: Вася;NOUN;Sing
васю поехал в Казань , ехал в Казань 12 часов , приехал в Казань , был в Казани три дня на выставке , поехал в Москву из Казани , ехал в Москву 12 часов , приехал в Москву .;Ошибка: васю. Нужно использовать: именительный падеж. Правильно: Вася;NOUN;Sing
Он сейчас в москву .;Ошибка: москву. Нужно использовать: предложный падеж. Правильно: Москве;NOUN;Sing
лето , когда я много работаю , я почти каждый день встаю в 5 или в 6 утра .;Ошибка: лето. Нужно использовать: творительный падеж. Правильно: Летом;NOUN;Sing
осень и зимой я люблю долго спать и встаю в 10 или в 11 утра .;Ошибка: осень. Нужно использовать: творительный падеж. Правильно: Осенью;NOUN;Sing
Обычно я ложусь спать в 12 часы или в час ночи .;Ошибка: часы. Нужно использовать: родительный падеж. Правильно: часов;NOUN;Plur
Если у меня занятие в университете , то я встаю в 8 утра .;Ошибка: занятие. Нужно использовать: именительный падеж. Правильно: занятия;NOUN;Plur
В выходными я очень люблю много спать .;Ошибка: выходными. Нужно использовать: винительный падеж. Правильно: выходные;NOUN;Plur
Я встаю в 11 или 12 часы .;Ошибка: часы. Нужно использовать: родительный падеж. Правильно: часов;NOUN;Plur
В буднями я ложусь спать рано , в 10 часов вечера , а в выходные очень поздно .;Ошибка: буднями. Нужно использовать: винительный падеж. Правильно: будни;NOUN;Plur
Иногда в 2 или в 3 час ночи .;Ошибка: час. Нужно использовать: родительный падеж. Правильно: часа;NOUN;Sing
Я творческого человек .;Ошибка: творческого. Нужно использовать: именительный падеж. Правильно: творческий;ADJ;Sing
Я встаю когда уже не хочу спать или когда фёдора хочет завтракать .;Ошибка: фёдора. Нужно использовать: именительный падеж. Правильно: Фёдор;NOUN;Sing
васю всегда ужинал рано , в 7 часов .;Ошибка: васю. Нужно использовать: именительный падеж. Правильно: Вася;NOUN;Sing
А сегодня васю поужинал в 9 часов .;Ошибка: васю. Нужно использовать: именительный падеж. Правильно: Вася;NOUN;Sing
Раньше таню никогда не писала рассказы .;Ошибка: таню. Нужно использовать: именительный падеж. Правильно: Таня;NOUN;Sing
Но недавно я посмотрел в кинотеатр очень интересный новый фильм .;Ошибка: кинотеатр. Нужно использовать: предложный падеж. Правильно: кинотеатре;NOUN;Sing
Меня зовут андрея .;Ошибка: андрея. Нужно использовать: именительный падеж. Правильно: Андрей;NOUN;Sing
Я веб-дизайнера .;Ошибка: веб-дизайнера. Нужно использовать: именительный падеж. Правильно: веб-дизайнер;NOUN;Sing
Потом я одеваюсь и гуляю 15 минуты в парке .;Ошибка: минуты. Нужно использовать: родительный падеж. Правильно: минут;NOUN;Plur
У меня есть собаку Шарик , поэтому мы гуляем два раза в день .;Ошибка: собаку. Нужно использовать: именительный падеж. Правильно: собака;NOUN;Sing
Я фрилансера , это значит я работаю дома .;Ошибка: фрилансера. Нужно использовать: именительный падеж. Правильно: фрилансер;NOUN;Sing
клиентов пишут письма каждый день .;Ошибка: клиентов. Нужно использовать: именительный падеж. Правильно: Клиенты;NOUN;Plur
Потом я недолго отдыхаю в 11 часы : я пью кофе и ем булочку .;Ошибка: часы. Нужно использовать: родительный падеж. Правильно: часов;NOUN;Plur
Потом я много говорю по телефон или по скайпу .;Ошибка: телефон. Нужно использовать: дательный падеж. Правильно: телефону;NOUN;Sing
клиентов очень часто звонят .;Ошибка: клиентов. Нужно использовать: именительный падеж. Правильно: Клиенты;NOUN;Plur
день я обедаю .;Ошибка: день. Нужно использовать: винительный падеж. Правильно: Днём;NOUN;Sing
Я делаю обедом сам или заказываю еду в интернете .;Ошибка: обедом. Нужно использовать: винительный падеж. Правильно: обед;NOUN;Sing
После обед я лежу на диване , смотрю телевизор или снова иду гулять в парк .;Ошибка: обед. Нужно использовать: родительный падеж. Правильно: обеда;NOUN;Sing
Я веб- дизайнера .;Ошибка: дизайнера. Нужно использовать: именительный падеж. Правильно: дизайнер;NOUN;Sing
Вечером я снова гуляю в парку .;Ошибка: парку. Нужно использовать: предложный падеж. Правильно: парке;NOUN;Sing
Из парк иногда я хожу в магазин и покупаю там продукты , а иногда заказываю в интернете , потому что мне не нравится ходить в магазин .;Ошибка: парк. Нужно использовать: родительный падеж. Правильно: парка;NOUN;Sing
Потом в часом ночи я ложусь спать .;Ошибка: часом. Нужно использовать: винительный падеж. Правильно: час;NOUN;Sing
Конечно , погоду не такая холодная , как в России зимой .;Ошибка: погоду. Нужно использовать: именительный падеж. Правильно: погода;NOUN;Sing
Сейчас , в январь +5 .;Ошибка: январь. Нужно использовать: предложный падеж. Правильно: январе;NOUN;Sing
холодного ветер .;Ошибка: холодного. Нужно использовать: именительный падеж. Правильно: Холодный;ADJ;Sing
Много снег бывает на севере Японии .;Ошибка: снег. Нужно использовать: родительный падеж. Правильно: снега;NOUN;Sing
Я не знаю , к сожаление или к счастью , но в Барселоне зимой нет снега .;Ошибка: сожаление. Нужно использовать: дательный падеж. Правильно: сожалению;NOUN;Sing
хорошую погода заканчивается в ноябре .;Ошибка: хорошую. Нужно использовать: именительный падеж. Правильно: Хорошая;ADJ;Sing
Сейчас здесь +12 градусы .;Ошибка: градусы. Нужно использовать: родительный падеж. Правильно: градусов;NOUN;Plur
Я не очень люблю зимой в Испании , потому что погода часто меняется , сильный ветер , ночью очень холодно , а утром туман .;Ошибка: зимой. Нужно использовать: винительный падеж. Правильно: зиму;NOUN;Sing
зиму в Москве настоящая : обычно идёт снег , иногда бывает сильный мороз .;Ошибка: зиму. Нужно использовать: именительный падеж. Правильно: Зима;NOUN;Sing
